res, iters, block, time (ms)
1000×1000, 1000, 256 , 729.5
1000×1000, 1000, 128 , 867.0
1000×1000, 1000, 64 , 843.5
1000×1000, 1000, 32 , 584.7
1000×1000, 1000, 24 , 486.3
1000×1000, 1000, 16 , 490.0
1000×1000, 1000, 8 , 489.9
1000×1000, 1000, 4 , 477.1
1000×1000, 1000, 2 , 493.4
1000×1000, 1000, 1 , 483.6
2000×2000, 1000, 256 , 1556.4
2000×2000, 1000, 128 , 1578.3
2000×2000, 1000, 64 , 1596.5
2000×2000, 1000, 32 , 1615.4
2000×2000, 1000, 24 , 2966.9
2000×2000, 1000, 16 , 1585.2
2000×2000, 1000, 8 , 1569.5
2000×2000, 1000, 4 , 1649.5
2000×2000, 1000, 2 , 1589.8
2000×2000, 1000, 1 , 1601.1
3000×3000, 1000, 256 , 4597.0
3000×3000, 1000, 128 , 3438.9
3000×3000, 1000, 64 , 3423.2
3000×3000, 1000, 32 , 3911.2
3000×3000, 1000, 24 , 3915.3
3000×3000, 1000, 16 , 3413.5
3000×3000, 1000, 8 , 3383.7
3000×3000, 1000, 4 , 4548.6
3000×3000, 1000, 2 , 3427.3
3000×3000, 1000, 1 , 3427.5
1000×1000, 3000, 256 , 489.2
1000×1000, 3000, 128 , 506.5
1000×1000, 3000, 64 , 482.8
1000×1000, 3000, 32 , 842.1
1000×1000, 3000, 24 , 875.0
1000×1000, 3000, 16 , 778.1
1000×1000, 3000, 8 , 476.5
1000×1000, 3000, 4 , 498.5
1000×1000, 3000, 2 , 468.1
1000×1000, 3000, 1 , 494.0
1000×1000, 5000, 256 , 480.9
1000×1000, 5000, 128 , 482.9
1000×1000, 5000, 64 , 487.7
1000×1000, 5000, 32 , 485.1
1000×1000, 5000, 24 , 487.9
1000×1000, 5000, 16 , 482.3
1000×1000, 5000, 8 , 490.4
1000×1000, 5000, 4 , 502.3
1000×1000, 5000, 2 , 493.5
1000×1000, 5000, 1 , 475.1
