configuration,resolution,iterations,processes,threads_per_process,total_threads,execution_time_ms,execution_time_seconds,speedup,efficiency_percent
1000x1000_1000,1000,1000,1,1,1,13084.3,13.084300,1.000,100.0
1000x1000_1000,1000,1000,1,2,2,6548.08,6.548080,1.998,99.9
1000x1000_1000,1000,1000,2,2,4,3275.25,3.275250,3.994,99.8
1000x1000_1000,1000,1000,1,8,8,1659.67,1.659670,7.883,98.5
1000x1000_1000,1000,1000,2,8,16,1048,1.048000,12.485,78.0
1000x1000_1000,1000,1000,4,8,32,1028.58,1.028580,12.720,39.7
1000x1000_1000,1000,1000,8,8,64,1014.58,1.014580,12.896,20.1
1000x1000_1000,1000,1000,2,16,32,950.73,.950730,13.762,43.0
1000x1000_1000,1000,1000,4,16,64,941.414,.941414,13.898,21.7
1000x1000_1000,1000,1000,8,16,128,964.876,.964876,13.560,10.5
2000x2000_1000,2000,1000,1,1,1,52342.5,52.342500,1.000,100.0
2000x2000_1000,2000,1000,1,2,2,26171.8,26.171800,1.999,99.9
2000x2000_1000,2000,1000,2,2,4,13092.4,13.092400,3.997,99.9
2000x2000_1000,2000,1000,1,8,8,6651.07,6.651070,7.869,98.3
2000x2000_1000,2000,1000,2,8,16,4014.6,4.014600,13.038,81.4
2000x2000_1000,2000,1000,4,8,32,4024.76,4.024760,13.005,40.6
2000x2000_1000,2000,1000,8,8,64,3950.52,3.950520,13.249,20.7
2000x2000_1000,2000,1000,2,16,32,3817.32,3.817320,13.711,42.8
2000x2000_1000,2000,1000,4,16,64,3701.62,3.701620,14.140,22.0
2000x2000_1000,2000,1000,8,16,128,3787.55,3.787550,13.819,10.7
3000x3000_1000,3000,1000,1,1,1,117766,117.766000,1.000,100.0
3000x3000_1000,3000,1000,1,2,2,58883.6,58.883600,1.999,99.9
3000x3000_1000,3000,1000,2,2,4,29454.5,29.454500,3.998,99.9
3000x3000_1000,3000,1000,1,8,8,14932.7,14.932700,7.886,98.5
3000x3000_1000,3000,1000,2,8,16,9239.28,9.239280,12.746,79.6
3000x3000_1000,3000,1000,4,8,32,9210.02,9.210020,12.786,39.9
3000x3000_1000,3000,1000,8,8,64,8949.73,8.949730,13.158,20.5
3000x3000_1000,3000,1000,2,16,32,8461.85,8.461850,13.917,43.4
3000x3000_1000,3000,1000,4,16,64,8468.09,8.468090,13.907,21.7
3000x3000_1000,3000,1000,8,16,128,8607.09,8.607090,13.682,10.6
1000x1000_3000,1000,3000,1,1,1,38512.3,38.512300,1.000,100.0
1000x1000_3000,1000,3000,1,2,2,19344.4,19.344400,1.990,99.5
1000x1000_3000,1000,3000,2,2,4,9671.88,9.671880,3.981,99.5
1000x1000_3000,1000,3000,1,8,8,4884.57,4.884570,7.884,98.5
1000x1000_3000,1000,3000,2,8,16,3031.18,3.031180,12.705,79.4
1000x1000_3000,1000,3000,4,8,32,3058.37,3.058370,12.592,39.3
1000x1000_3000,1000,3000,8,8,64,3016.45,3.016450,12.767,19.9
1000x1000_3000,1000,3000,2,16,32,2761.09,2.761090,13.948,43.5
1000x1000_3000,1000,3000,4,16,64,2737.98,2.737980,14.065,21.9
1000x1000_3000,1000,3000,8,16,128,2810.34,2.810340,13.703,10.7
1000x1000_5000,1000,5000,1,1,1,63921.4,63.921400,1.000,100.0
1000x1000_5000,1000,5000,1,2,2,32128.2,32.128200,1.989,99.4
1000x1000_5000,1000,5000,2,2,4,16087.1,16.087100,3.973,99.3
1000x1000_5000,1000,5000,1,8,8,8151.24,8.151240,7.841,98.0
1000x1000_5000,1000,5000,2,8,16,5208.27,5.208270,12.273,76.7
1000x1000_5000,1000,5000,4,8,32,5060.78,5.060780,12.630,39.4
1000x1000_5000,1000,5000,8,8,64,4856.73,4.856730,13.161,20.5
1000x1000_5000,1000,5000,2,16,32,4457.92,4.457920,14.338,44.8
1000x1000_5000,1000,5000,4,16,64,4575.25,4.575250,13.971,21.8
1000x1000_5000,1000,5000,8,16,128,4640.81,4.640810,13.773,10.7
