configuration,resolution,iterations,processes,execution_time_ms,execution_time_seconds,speedup,efficiency_percent
1000x1000_1000,1000,1000,1,13079.9,13.079900,1.000,100.0
1000x1000_1000,1000,1000,2,6546.77,6.546770,1.997,99.8
1000x1000_1000,1000,1000,4,5387.62,5.387620,2.427,60.6
1000x1000_1000,1000,1000,8,3252.75,3.252750,4.021,50.2
1000x1000_1000,1000,1000,16,2117.14,2.117140,6.178,38.6
1000x1000_1000,1000,1000,32,2391.57,2.391570,5.469,17.0
1000x1000_1000,1000,1000,64,1919.68,1.919680,6.813,10.6
1000x1000_1000,1000,1000,128,2138.09,2.138090,6.117,4.7
1000x1000_1000,1000,1000,256,2108,2.108000,6.204,2.4
2000x2000_1000,2000,1000,1,52324.6,52.324600,1.000,100.0
2000x2000_1000,2000,1000,2,26178,26.178000,1.998,99.9
2000x2000_1000,2000,1000,4,21550.1,21.550100,2.428,60.7
2000x2000_1000,2000,1000,8,13012.2,13.012200,4.021,50.2
2000x2000_1000,2000,1000,16,9228.38,9.228380,5.669,35.4
2000x2000_1000,2000,1000,32,8080.62,8.080620,6.475,20.2
2000x2000_1000,2000,1000,64,8121.71,8.121710,6.442,10.0
2000x2000_1000,2000,1000,128,7937.29,7.937290,6.592,5.1
2000x2000_1000,2000,1000,256,7760.36,7.760360,6.742,2.6
3000x3000_1000,3000,1000,1,117744,117.744000,1.000,100.0
3000x3000_1000,3000,1000,2,58897.4,58.897400,1.999,99.9
3000x3000_1000,3000,1000,4,48489.4,48.489400,2.428,60.7
3000x3000_1000,3000,1000,8,29278.4,29.278400,4.021,50.2
3000x3000_1000,3000,1000,16,23072.5,23.072500,5.103,31.8
3000x3000_1000,3000,1000,32,19039.8,19.039800,6.184,19.3
3000x3000_1000,3000,1000,64,17838.1,17.838100,6.600,10.3
3000x3000_1000,3000,1000,128,16554.3,16.554300,7.112,5.5
3000x3000_1000,3000,1000,256,17634.6,17.634600,6.676,2.6
1000x1000_3000,1000,3000,1,38509.9,38.509900,1.000,100.0
1000x1000_3000,1000,3000,2,19274.9,19.274900,1.997,99.8
1000x1000_3000,1000,3000,4,15980.1,15.980100,2.409,60.2
1000x1000_3000,1000,3000,8,9672.13,9.672130,3.981,49.7
1000x1000_3000,1000,3000,16,7620.96,7.620960,5.053,31.5
1000x1000_3000,1000,3000,32,5825.31,5.825310,6.610,20.6
1000x1000_3000,1000,3000,64,5556.83,5.556830,6.930,10.8
1000x1000_3000,1000,3000,128,5962.52,5.962520,6.458,5.0
1000x1000_3000,1000,3000,256,5909.21,5.909210,6.516,2.5
1000x1000_5000,1000,5000,1,63923.4,63.923400,1.000,100.0
1000x1000_5000,1000,5000,2,31993,31.993000,1.998,99.9
1000x1000_5000,1000,5000,4,26566.8,26.566800,2.406,60.1
1000x1000_5000,1000,5000,8,16093.4,16.093400,3.972,49.6
1000x1000_5000,1000,5000,16,11389.3,11.389300,5.612,35.0
1000x1000_5000,1000,5000,32,9662.18,9.662180,6.615,20.6
1000x1000_5000,1000,5000,64,9996.26,9.996260,6.394,9.9
1000x1000_5000,1000,5000,128,10082.8,10.082800,6.339,4.9
1000x1000_5000,1000,5000,256,9942.62,9.942620,6.429,2.5
