resolution,iterations,threads,execution_time_ms,execution_time_seconds,speedup,efficiency_percent
1000,1000,64,1251.091,1.251091,10.581,10.0
1000,1000,32,1309.847,1.309847,10.106,30.0
1000,1000,24,1599.341,1.599341,8.277,30.0
1000,1000,16,1971.871,1.971871,6.713,40.0
1000,1000,8,3415.129,3.415129,3.876,40.0
1000,1000,4,5540.173,5.540173,2.389,50.0
1000,1000,2,6701.481,6.701481,1.975,90.0
1000,1000,1,13236.358,13.236358,1.000,100.0
1000,3000,64,3063.689,3.063689,12.620,10.0
1000,3000,32,3612.043,3.612043,10.704,30.0
1000,3000,24,4269.936,4.269936,9.055,30.0
1000,3000,16,5518.665,5.518665,7.006,40.0
1000,3000,8,9862.450,9.862450,3.920,40.0
1000,3000,4,16134.048,16.134048,2.396,50.0
1000,3000,2,19430.079,19.430079,1.990,90.0
1000,3000,1,38667.014,38.667014,.999,90.0
1000,5000,64,5104.461,5.104461,12.553,10.0
1000,5000,32,5782.580,5.782580,11.081,30.0
1000,5000,24,6679.197,6.679197,9.593,30.0
1000,5000,16,8882.324,8.882324,7.214,40.0
1000,5000,8,16244.385,16.244385,3.944,40.0
1000,5000,4,26719.621,26.719621,2.398,50.0
1000,5000,2,32148.451,32.148451,1.993,90.0
1000,5000,1,64080.731,64.080731,.999,90.0
2000,1000,64,4732.257,4.732257,11.185,10.0
2000,1000,32,5269.946,5.269946,10.044,30.0
2000,1000,24,6103.743,6.103743,8.672,30.0
2000,1000,16,7688.919,7.688919,6.884,40.0
2000,1000,8,13598.758,13.598758,3.892,40.0
2000,1000,4,22132.210,22.132210,2.391,50.0
2000,1000,2,26765.954,26.765954,1.977,90.0
2000,1000,1,52933.081,52.933081,1.000,100.0
2000,3000,64,11847.691,11.847691,13.054,20.0
2000,3000,32,14408.295,14.408295,10.734,30.0
2000,3000,24,15960.927,15.960927,9.690,40.0
2000,3000,16,21616.384,21.616384,7.154,40.0
2000,3000,8,39353.296,39.353296,3.930,40.0
2000,3000,4,64503.222,64.503222,2.397,50.0
2000,3000,2,77651.975,77.651975,1.991,90.0
2000,3000,1,154662.927,154.662927,.999,90.0
2000,5000,64,20054.121,20.054121,12.781,10.0
2000,5000,32,23339.337,23.339337,10.982,30.0
2000,5000,24,27817.826,27.817826,9.214,30.0
2000,5000,16,35853.432,35.853432,7.149,40.0
2000,5000,8,64933.377,64.933377,3.947,40.0
2000,5000,4,106835.961,106.835961,2.399,50.0
2000,5000,2,128515.173,128.515173,1.994,90.0
2000,5000,1,256316.366,256.316366,.999,90.0
3000,1000,64,10157.414,10.157414,11.725,10.0
3000,1000,32,11721.232,11.721232,10.161,30.0
3000,1000,24,13029.489,13.029489,9.141,30.0
3000,1000,16,17371.615,17.371615,6.856,40.0
3000,1000,8,30574.543,30.574543,3.895,40.0
3000,1000,4,49803.900,49.803900,2.391,50.0
3000,1000,2,60205.393,60.205393,1.978,90.0
3000,1000,1,119094.183,119.094183,1.000,100.0
3000,3000,64,27198.109,27.198109,12.795,10.0
3000,3000,32,31859.259,31.859259,10.923,30.0
3000,3000,24,36868.072,36.868072,9.439,30.0
3000,3000,16,48145.225,48.145225,7.228,40.0
3000,3000,8,88393.841,88.393841,3.937,40.0
3000,3000,4,145091.351,145.091351,2.398,50.0
3000,3000,2,174692.274,174.692274,1.992,90.0
3000,3000,1,347989.472,347.989472,1.000,100.0
3000,5000,64,44127.284,44.127284,13.069,20.0
3000,5000,32,52791.498,52.791498,10.924,30.0
3000,5000,24,58777.620,58.777620,9.812,40.0
3000,5000,16,80098.141,80.098141,7.200,40.0
3000,5000,8,146091.016,146.091016,3.947,40.0
