resolution,iterations,threads,execution_time_ms,execution_time_seconds,speedup,efficiency_percent
1000,1000,64,1075.258,1.075258,12.312,10.0
1000,1000,32,1066.486,1.066486,12.414,30.0
1000,1000,24,1066.787,1.066787,12.410,50.0
1000,1000,16,1150.071,1.150071,11.511,70.0
1000,1000,8,1822.279,1.822279,7.265,90.0
1000,1000,4,3439.033,3.439033,3.849,90.0
1000,1000,2,6724.932,6.724932,1.968,90.0
1000,1000,1,13239.425,13.239425,.999,90.0
2000,1000,64,4216.859,4.216859,12.553,10.0
2000,1000,32,4220.925,4.220925,12.541,30.0
2000,1000,24,4219.152,4.219152,12.546,50.0
2000,1000,16,4580.181,4.580181,11.557,70.0
2000,1000,8,7270.208,7.270208,7.281,90.0
2000,1000,4,13726.304,13.726304,3.856,90.0
2000,1000,2,26873.108,26.873108,1.969,90.0
2000,1000,1,52934.739,52.934739,1.000,100.0
3000,1000,64,9476.620,9.476620,12.569,10.0
3000,1000,32,9496.004,9.496004,12.544,30.0
3000,1000,24,9460.315,9.460315,12.591,50.0
3000,1000,16,10280.359,10.280359,11.586,70.0
3000,1000,8,16291.613,16.291613,7.311,90.0
3000,1000,4,30876.515,30.876515,3.857,90.0
3000,1000,2,60506.364,60.506364,1.968,90.0
3000,1000,1,119113.241,119.113241,1.000,100.0
1000,3000,64,2834.747,2.834747,13.640,20.0
1000,3000,32,2848.218,2.848218,13.575,40.0
1000,3000,24,2828.660,2.828660,13.669,50.0
1000,3000,16,3082.357,3.082357,12.544,70.0
1000,3000,8,5070.967,5.070967,7.625,90.0
1000,3000,4,9798.273,9.798273,3.946,90.0
1000,3000,2,19442.583,19.442583,1.988,90.0
1000,3000,1,38666.110,38.666110,1.000,100.0
1000,5000,64,4600.668,4.600668,13.928,20.0
1000,5000,32,4593.936,4.593936,13.949,40.0
1000,5000,24,4590.205,4.590205,13.960,50.0
1000,5000,16,5059.800,5.059800,12.664,70.0
1000,5000,8,8223.805,8.223805,7.792,90.0
1000,5000,4,16156.335,16.156335,3.966,90.0
1000,5000,2,32152.770,32.152770,1.993,90.0
1000,5000,1,64075.955,64.075955,1.000,100.0
