Configuration,Resolution,Iterations,Threads,Run,Time_ms,Speedup,Efficiency
1000x1000_1000,1000,1000,64,1,680,11.700,18.200
1000x1000_1000,1000,1000,64,2,675,11.786,18.400
1000x1000_1000,1000,1000,64,3,677,11.751,18.300
1000x1000_1000,1000,1000,32,1,672,11.839,36.900
1000x1000_1000,1000,1000,32,2,671,11.856,37.000
1000x1000_1000,1000,1000,32,3,684,11.631,36.300
1000x1000_1000,1000,1000,24,1,675,11.786,49.100
1000x1000_1000,1000,1000,24,2,690,11.530,48.000
1000x1000_1000,1000,1000,24,3,671,11.856,49.400
1000x1000_1000,1000,1000,16,1,788,10.096,63.100
1000x1000_1000,1000,1000,16,2,781,10.186,63.600
1000x1000_1000,1000,1000,16,3,781,10.186,63.600
1000x1000_1000,1000,1000,8,1,1145,6.948,86.800
1000x1000_1000,1000,1000,8,2,1156,6.882,86.000
1000x1000_1000,1000,1000,8,3,1151,6.912,86.400
1000x1000_1000,1000,1000,4,1,2116,3.759,93.900
1000x1000_1000,1000,1000,4,2,2126,3.742,93.500
1000x1000_1000,1000,1000,4,3,2115,3.761,94.000
1000x1000_1000,1000,1000,2,1,4091,1.944,97.200
1000x1000_1000,1000,1000,2,2,4092,1.944,97.200
1000x1000_1000,1000,1000,2,3,4099,1.940,97.000
1000x1000_1000,1000,1000,1,1,7955,1.000,100.000
1000x1000_1000,1000,1000,1,2,7965,.998,99.800
1000x1000_1000,1000,1000,1,3,8162,.974,97.400
2000x2000_1000,2000,1000,64,1,2722,11.667,18.200
2000x2000_1000,2000,1000,64,2,2698,11.771,18.300
2000x2000_1000,2000,1000,64,3,2702,11.753,18.300
2000x2000_1000,2000,1000,32,1,2665,11.917,37.200
2000x2000_1000,2000,1000,32,2,2694,11.788,36.800
2000x2000_1000,2000,1000,32,3,2690,11.806,36.800
2000x2000_1000,2000,1000,24,1,2686,11.823,49.200
2000x2000_1000,2000,1000,24,2,2728,11.641,48.500
2000x2000_1000,2000,1000,24,3,2712,11.710,48.700
2000x2000_1000,2000,1000,16,1,3141,10.111,63.100
2000x2000_1000,2000,1000,16,2,3159,10.053,62.800
2000x2000_1000,2000,1000,16,3,3141,10.111,63.100
2000x2000_1000,2000,1000,8,1,4603,6.899,86.200
2000x2000_1000,2000,1000,8,2,4639,6.846,85.500
2000x2000_1000,2000,1000,8,3,4607,6.893,86.100
2000x2000_1000,2000,1000,4,1,8435,3.765,94.100
2000x2000_1000,2000,1000,4,2,8450,3.758,93.900
2000x2000_1000,2000,1000,4,3,8449,3.758,93.900
2000x2000_1000,2000,1000,2,1,16287,1.949,97.400
2000x2000_1000,2000,1000,2,2,16273,1.951,97.500
2000x2000_1000,2000,1000,2,3,16294,1.949,97.400
2000x2000_1000,2000,1000,1,1,31759,1.000,100.000
2000x2000_1000,2000,1000,1,2,31762,.999,99.900
2000x2000_1000,2000,1000,1,3,31767,.999,99.900
3000x3000_1000,3000,1000,64,1,6060,11.782,18.400
3000x3000_1000,3000,1000,64,2,6123,11.661,18.200
3000x3000_1000,3000,1000,64,3,6110,11.686,18.200
3000x3000_1000,3000,1000,32,1,6076,11.751,36.700
3000x3000_1000,3000,1000,32,2,6073,11.757,36.700
3000x3000_1000,3000,1000,32,3,6088,11.728,36.600
3000x3000_1000,3000,1000,24,1,6108,11.690,48.700
3000x3000_1000,3000,1000,24,2,6082,11.740,48.900
3000x3000_1000,3000,1000,24,3,6148,11.614,48.300
3000x3000_1000,3000,1000,16,1,7070,10.099,63.100
3000x3000_1000,3000,1000,16,2,7067,10.103,63.100
3000x3000_1000,3000,1000,16,3,7097,10.061,62.800
3000x3000_1000,3000,1000,8,1,10332,6.910,86.300
3000x3000_1000,3000,1000,8,2,10335,6.908,86.300
3000x3000_1000,3000,1000,8,3,10368,6.886,86.000
3000x3000_1000,3000,1000,4,1,19007,3.756,93.900
3000x3000_1000,3000,1000,4,2,18931,3.771,94.200
3000x3000_1000,3000,1000,4,3,18957,3.766,94.100
3000x3000_1000,3000,1000,2,1,36587,1.951,97.500
3000x3000_1000,3000,1000,2,2,36606,1.950,97.500
3000x3000_1000,3000,1000,2,3,36589,1.951,97.500
3000x3000_1000,3000,1000,1,1,71411,.999,99.900
