benchmark_type,flag_or_config,resolution,iterations,execution_time_ms
compiler_flags,-O0,1000,1000,71
compiler_flags,-O1,1000,1000,4
compiler_flags,-O2,1000,1000,5
compiler_flags,-O3,1000,1000,5
compiler_flags,-xhost,1000,1000,3
compiler_flags,-fast,1000,1000,3
compiler_flags,-xSSE3,1000,1000,5
scaling_analysis,1000x1000,1000,1000,13
scaling_analysis,1000x1000,1000,2000,25
scaling_analysis,1000x1000,1000,3000,38
scaling_analysis,1000x1000,1000,4000,51
scaling_analysis,1000x1000,1000,5000,63
scaling_analysis,2000x2000,2000,1000,52
scaling_analysis,2000x2000,2000,2000,103
scaling_analysis,2000x2000,2000,3000,154
scaling_analysis,2000x2000,2000,4000,204
scaling_analysis,2000x2000,2000,5000,255
scaling_analysis,3000x3000,3000,1000,117
scaling_analysis,3000x3000,3000,2000,232
scaling_analysis,3000x3000,3000,3000,346
scaling_analysis,3000x3000,3000,4000,460
scaling_analysis,3000x3000,3000,5000,575
